股票代號,公司名稱,終止上櫃日期
6135,佳營電子股份有限公司,2016-03-30,符合本中心業務規則第12條之2第1項第12款第1目
5266,"Auto Server Co., Ltd.",2016-03-24,經該公司股東臨時會決議向本中心申請終止有價證券櫃檯買賣
1256,鮮活控股股份有限公司,2016-03-17,依本中心業務規則第12條之2第1項第1款
6211,福登精密工業股份有限公司,2016-01-04,經該公司董事會決議向本中心申請終止櫃檯買賣
5506,長鴻營造股份有限公司,2015-11-26,依本中心業務規則第12條之2第1項第5款
4927,泰鼎國際股份有限公司,2015-09-08,依本中心業務規則第12條之2第1項第1款
5505,和旺聯合實業股份有限公司,2015-07-16,本中心業務規則第12條之2第1項第5款
4720,德淵企業股份有限公司,2015-06-24,本中心業務規則第12條之2第1項第1款
5466,泰林科技股份有限公司,2015-06-17,本中心業務規則第12條之2第1項第9款
4912,聯德控股股份有限公司,2015-05-21,依本中心業務規則第12條之2第1項第1款
3416,融程電訊股份有限公司,2015-01-23,依本中心業務規則第12條之2第1項第1款
3582,凌耀科技股份有限公司,2014-12-31,依本中心業務規則第12條之2及第15條之7
5261,創傑科技股份有限公司,2014-12-25,經該公司股東臨時會決議向本中心申請終止有價證券櫃檯買賣
3266,昇陽建設企業股份有限公司,2014-12-24,依本中心業務規則第12條之2第1項第1款
1558,伸興工業股份有限公司,2014-12-23,依本中心業務規則第12條之2第1項第1款
8996,高力熱處理工業股份有限公司,2014-02-14,依本中心業務規則第12條之2第1項第1款
5519,隆大營建事業股份有限公司,2014-02-10,依本中心業務規則第12條之2第1項第1款
5467,聯福生科技股份有限公司,2013-12-25,依本中心業務規則第12條之2第1項第4款規定
4994,傳奇網路遊戲股份有限公司,2013-12-25,依本中心業務規則第12條之2第1項第1款
9946,三發地產股份有限公司,2013-09-17,依本中心業務規則第12條之2第1項第1款
6177,達麗建設事業股份有限公司,2013-08-01,依本中心業務規則第12條之2第1項第1款
3087,翔準先進光罩股份有限公司,2013-04-30,經該公司董事會決議向本中心申請終止有價證券櫃檯買賣
4801,高盛電子科技股份有限公司,2013-04-30,依本中心業務規則第13條之1第1項第10款
3069,台灣金屬礦業股份有限公司,2013-04-29,依本中心業務規則第12條之2第1項第12款、第12條之2第1項第6款、第12條之2第1項之補充規定第1條第1項第4款
6008,凱基證券股份有限公司,2013-01-18,依本中心業務規則第15條之34規定
8705,東隆五金工業股份有限公司,2013-01-01,依本中心業務規則第15條之7規定
5521,工信工程股份有限公司,2012-12-18,依本中心業務規則第12條之2第1項第1款
5346,力晶科技股份有限公司,2012-12-11,依本中心業務規則第12條之2第1項第4款規定
8114,振樺電子股份有限公司,2012-11-26,依本中心業務規則第12條之2第1項第1款
2341,英群企業股份有限公司,2012-11-13,依本中心業務規則第13條之1第1項第10款之規定
5318,佳鼎科技股份有限公司,2012-11-06,依本中心業務規則第13條之1第1項第10款之規定
2381,華宇光能股份有限公司,2012-10-15,依本中心業務規則第13條之1第1項第10款之規定
4722,國精化學股份有限公司,2012-08-15,依本中心業務規則第12條之2第1項第1款
1107,建台水泥股份有限公司,2012-06-07,依本中心業務規則第13條之1第1項第10款之規定
4408,聯明行動科技股份有限公司,2012-04-30,依本中心業務規則第12條之2第1項第12款、第7款之規定
5387,茂德科技股份有限公司,2012-03-26,依本中心業務規則第12條之2第1項第4款、第5款規定
3389,志遠電子股份有限公司,2012-02-01,依本中心業務規則第12條之2及第15條之18規定
4426,利勤實業股份有限公司,2011-12-16,依本中心業務規則第12條之2第1項第1款
6183,關貿網路股份有限公司,2011-12-01,依本中心業務規則第12條之2第1項第1款
8210,勤誠興業股份有限公司,2011-12-01,依本中心業務規則第12條之2第1項第1款
5706,鳳凰國際旅行社股份有限公司,2011-10-21,依本中心業務規則第12條之2第1項第1款
5007,三星科技股份有限公司,2011-09-16,依本中心業務規則第12條之2第1項第1款
5204,得捷股份有限公司,2011-08-05,依本中心業務規則第13條之1第1項第10款規定
3454,晶睿通訊股份有限公司,2011-07-22,依本中心業務規則第12條之2第1項第1款
2396,精碟科技股份有限公司,2011-05-16,依本中心業務規則第13條之1第1項第10款規定
4733,上緯企業股份有限公司,2010-12-30,依本中心業務規則第12條之2第1項第1款
6214,精誠資訊股份有限公司,2010-12-30,依本中心業務規則第12條之2第1項第1款
2114,鑫永銓股份有限公司,2010-12-29,依本中心業務規則第12條之2第1項第1款
3312,弘憶國際股份有限公司,2010-12-29,依本中心業務規則第12條之2第1項第1款
2231,為升電裝工業股份有限公司,2010-11-19,依本中心業務規則第12條之2第1項第1款
6230,超眾科技股份有限公司,2010-09-16,依本中心業務規則第12條之2第1項第1款
6278,台灣表面黏著科技股份有限公司,2010-08-24,依本中心業務規則第12條之2第1項第1款
3099,頂倫企業股份有限公司,2010-04-12,依本中心業務規則第12條之2第1項第12款規定
3164,景岳生物科技股份有限公司,2010-03-22,依本中心業務規則第12條之2第1項第1款
3229,晟鈦股份有限公司,2009-12-31,依本中心業務規則第12條之2第1項第1款
2921,特力和樂股份有限公司,2009-12-31,依本中心業務規則第15條之18
1582,信錦企業股份有限公司,2009-12-17,依本中心業務規則第12條之2第1項第1款
6243,迅杰科技股份有限公司,2009-12-17,依本中心業務規則第12條之2第1項第1款
8039,台虹科技股份有限公司,2009-12-17,依本中心業務規則第12條之2第1項第1款
8261,富鼎先進電子股份有限公司,2009-12-11,依本中心業務規則第12條之2第1項第1款
6152,百一電子股份有限公司,2009-12-08,依本中心業務規則第12條之2第1項第1款
5492,亞智科技股份有限公司,2009-10-30,依本中心上櫃公司申請終止有價證券櫃檯買賣處理程序之規定
8103,瀚荃股份有限公司,2009-09-29,依本中心業務規則第12條之2第1項第1款
6224,聚鼎科技股份有限公司,2009-09-17,依本中心業務規則第12條之2第1項第1款
5318,佳鼎科技股份有限公司,2009-09-08,依本中心業務規則第12條之2第1項第4款規定
5207,飛雅高科技股份有限公司,2009-06-29,依本中心業務規則第13條之1第1項第10款規定
8940,新天地國際實業股份有限公司,2009-05-15,依本中心業務規則第12條之2第1項第1款
6402,基泰營造股份有限公司,2009-05-11,依本中心業務規則第12條之2第1項第5款規定
6149,禾鴻科技股份有限公司,2009-05-03,依本中心業務規則第12條之2第1項第12款規定
2410,鼎大科技股份有限公司,2009-04-20,依本中心業務規則第13條之1第1項第10款規定
2479,和立聯合科技股份有限公司,2009-03-16,依本中心業務規則第13條之1第1項第11款規定
6159,詮鼎科技股份有限公司,2009-02-06,依本中心業務規則第12條之2第1項第17款規定
8081,致新科技股份有限公司,2008-12-30,依本中心業務規則第12條之2第1項第1款
6108,競國實業股份有限公司,2008-12-30,依本中心業務規則第12條之2第1項第1款
8374,羅昇企業股份有限公司,2008-12-25,依本中心業務規則第12條之2第1項第1款
3053,鼎營科技股份有限公司,2008-12-09,依本中心業務規則第13條之1第1項第11款規定
3369,鐵研科技股份有限公司,2008-12-01,依本中心業務規則第12條之2第1項第5款規定
3209,全科科技股份有限公司,2008-11-26,依本中心業務規則第12條之2第1項第1款
6226,光鼎電子股份有限公司,2008-11-10,依本中心業務規則第12條之2第1項第1款
6110,艾群科技股份有限公司,2008-10-21,依本中心業務規則第12條之2第1項第4款規定
6164,華興電子工業股份有限公司,2008-10-21,依本中心業務規則第12條之2第1項第1款
5605,遠東航空股份有限公司,2008-10-20,依本中心業務規則第12條之2第1項第12款規定
3298,圓創科技股份有限公司,2008-10-01,與上櫃公司致新科技股份有限公司合併，並為消滅公司，核有本中心業務規則第16條第1項規定之情事
3142,遠茂光電股份有限公司,2008-09-29,依本中心業務規則第13條之1第1項第11款規定
1807,羅馬磁磚工業股份有限公司,2008-09-16,依本中心業務規則第13條之1第1項第10款規定
6232,仕欽科技企業股份有限公司,2008-09-03,依本中心業務規則第12條之2第1項第5款規定
5501,金腦科技股份有限公司,2008-08-28,依本中心業務規則第13條之1第1項第10款規定
2326,亞瑟科技股份有限公司,2008-07-31,依本中心業務規則第13條之1第1項第10款規定
4108,懷特新藥科技股份有限公司,2008-07-16,依本中心業務規則第12條之2第1項第1款
3305,昇貿科技股份有限公司,2008-07-10,依本中心業務規則第12條之2第1項第1款
2059,川湖科技股份有限公司,2008-06-25,依本中心業務規則第12條之2第1項第1款
3079,宏億國際股份有限公司,2008-06-04,依本中心業務規則第12條之2第1項第5款規定
3080,威力盟電子股份有限公司,2008-06-02,依本中心業務規則第12條之2第1項第1款
5533,皇鼎建設開發股份有限公司,2008-04-30,依本中心業務規則第12條之2第1項第1款
5204,得捷股份有限公司,2008-04-29,依本中心業務規則第12條之2第1項第4款規定
5414,磐英科技股份有限公司,2008-04-28,依本中心業務規則第13條之1第1項第7款規定
5017,新泰伸科技股份有限公司,2008-04-10,依本中心業務規則第12條之2第1項第5款、第12款規定
9955,佳龍科技工程股份有限公司,2008-01-21,依本中心業務規則第12條之2第1項第1款
3419,譁裕實業股份有限公司,2008-01-21,依本中心業務規則第12條之2第1項第1款
6213,聯茂電子股份有限公司,2008-01-21,依本中心業務規則第12條之2第1項第1款
6153,嘉聯益科技股份有限公司,2008-01-21,依本中心業務規則第12條之2第1項第1款
6205,詮欣股份有限公司,2008-01-21,依本中心業務規則第12條之2第1項第1款
6283,淳安電子股份有限公司,2008-01-21,依本中心業務規則第12條之2第1項第1款
8021,尖點科技股份有限公司,2008-01-21,依本中心業務規則第12條之2第1項第1款
4306,炎洲股份有限公司,2008-01-21,依本中心業務規則第12條之2第1項第1款
5414,磐英科技股份有限公司,2008-01-01,依本中心業務規則第12條之2第1項第12款規定
3090,日電貿股份有限公司,2007-12-31,依本中心業務規則第12條之2第1項第1款
3296,勝德國際研發股份有限公司,2007-12-31,依本中心業務規則第12條之2第1項第1款
3376,新日興股份有限公司,2007-12-31,依本中心業務規則第12條之2第1項第1款
4104,東貿國際股份有限公司,2007-12-31,依本中心業務規則第12條之2第1項第1款
6215,和椿科技股份有限公司,2007-12-31,依本中心業務規則第12條之2第1項第1款
8070,長華電材股份有限公司,2007-12-31,依本中心業務規則第12條之2第1項第1款
8112,至上電子股份有限公司,2007-12-31,依本中心業務規則第12條之2第1項第1款
5388,中磊電子股份有限公司,2007-12-03,依本中心業務規則第12條之2第1項第1款
5818,華僑商業銀行股份有限公司,2007-12-01,因與花旗(台灣)商業銀行股份有限公司合併，並為消滅公司，核有本中心業務規則第12條之2第1項第19款規定之情事
8110,華東科技股份有限公司,2007-10-31,依本中心業務規則第12條之2第1項第1款
4801,碼斯特科技股份有限公司,2007-10-24,依本中心業務規則第12條之2第1項第6款規定
6191,精成科技股份有限公司,2007-10-19,依本中心業務規則第12條之2第1項第1款
5810,寶華商業銀行股份有限公司,2007-09-10,依本中心業務規則第12條之2第1項第18款規定
2628,正利航業股份有限公司,2007-08-30,該公司董事台灣達航投資股份有限公司承諾自96年8月30日起，迄96年10月18日止，以每股新台幣21.89元，收購該公司流通在外普通股股票。
8017,展茂光電股份有限公司,2007-08-29,依本中心業務規則第12條之2第1項第7款規定
5522,遠雄建設事業股份有限公司,2007-08-06,依本中心業務規則第12條之2第1項第1款
1462,東雲股份有限公司,2007-08-02,依本中心業務規則第13條之1第1項第10款規定
5376,東正元電路工業股份有限公司,2007-08-01,依本中心業務規則第13條之1第1項第10款規定
8033,雷虎科技股份有限公司,2007-06-21,依本中心業務規則第12條之2第1項第1款
5207,飛雅高科技股份有限公司,2007-05-29,依本中心業務規則第12條之2第1項第12款規定
2407,欣煜科技(原名稱:陞技)股份有限公司,2007-05-16,依本中心業務規則第13條之1第1項第7款規定
6176,瑞儀光電股份有限公司,2007-05-15,依本中心業務規則第12條之2第1項第1款
2811,台東區中小企業銀行股份有限公司,2007-03-08,
5532,竟誠建築股份有限公司,2007-02-18,
6262,鼎太國際股份有限公司,2007-01-09,另依本中心業務規則第12條之2第1項第12款規定
8105,凌巨科技股份有限公司,2006-12-27,依本中心業務規則第12條之2第1項第1款
5901,中友百貨,2006-12-26,依本中心業務規則第12條之2第1項第3款規定
6137,新寶科,2006-12-25,依本中心業務規則第12條之2第1項第4款規定
1408,中興紡織廠股份有限公司,2006-11-17,依本中心業務規則第13條之1第1項第11款規定
6178,振遠科技,2006-10-01,
6120,輔祥實業,2006-09-13,依本中心業務規則第12條之2第1項第1款
5307,耀文,2006-09-11,依本中心業務規則第13條之1第1項第9款規定
1224,惠勝,2006-09-04,依本中心業務規則第13條之1第1項第9款規定
6155,鈞寶電子,2006-08-18,依本中心業務規則第12條之2第1項第1款
4404,百成行,2006-08-15,依本中心業務規則第13條之1第1項第9款規定
1458,嘉新畜產,2006-06-21,依本中心業務規則第13條之1第1項第9款規定
5494,德鑫科技,2006-06-19,
6162,鴻源科技,2006-02-27,依本中心業務規則第12條之2第1項第12款規定(轉列管理股票)
5442,世峰,2005-12-07,
4910,陽慶電子,2005-12-01,股份轉換
6005,群益證券,2005-11-21,依本中心業務規則第12條之2第1項第1款
5336,華特,2005-11-17,主動申請下櫃
5473,矽成,2005-11-11,主動申請下櫃
5325,大騰電子,2005-10-31,依本中心業務規則第12條之2第1項第3款及第14款規定
4904,遠傳電信,2005-08-24,依本中心業務規則第12條之2第1項第1款
8072,陞泰科技,2005-08-19,依本中心業務規則第12條之2第1項第1款
5497,佰鈺科技,2005-07-18,
6181,宇詮科技,2005-06-28,依本中心業務規則第12條之2第1項第4款規定
5376,東正元電路,2005-06-28,依本中心業務規則第12條之2第1項第4款規定(轉列管理股票)
5436,立生半導體,2005-06-01,
5524,捷力科技,2005-04-25,
5528,廣大興業,2005-03-21,
5006,高鋁金屬,2005-03-10,
6184,大豐有線,2005-02-15,
5531,鄉林建設事業,2005-01-31,
6193,洪氏英,2005-01-29,
1407,華隆,2005-01-26,依本中心業務規則第13條之1第1項第10款規定
